Latitude,Longitude
32.3176411,-6.383296
32.3179599,-6.3829792
32.3183533,-6.3829662
32.3185738,-6.383208
 32.3186508,-6.3834084
32.3186498,-6.3837455
32.3186328,-6.3841931
32.3187564,-6.3843814
32.3189753,-6.3843953
32.319255,-6.3845588
32.3193922,-6.3846708
32.319573,-6.3848324
32.3196663,-6.3849201
32.3197793,-6.3850326
32.3200745,-6.3852783
32.3201645,-6.3853591
32.3204117,-6.3851128
32.3206348,-6.3845681
32.3209533,-6.383988
32.3213397,-6.3833772
32.3217737,-6.3827009
32.3220281,-6.3822961
32.3224221,-6.3816816
32.3226765,-6.381284
32.3230299,-6.3806854
32.3233501,-6.3801757
32.3237223,-6.3796688
32.3240097,-6.3791496
32.3242928,-6.3786633
32.3251888,-6.3773031
32.3256063,-6.3766259
32.3260639,-6.3758978
32.3265098,-6.3752148
32.3268872,-6.3746881
32.3274166,-6.3738664
32.3278694,-6.3731134
32.3281662,-6.3721004
32.328393,-6.3714872
32.3286738,-6.3716876
32.3291237,-6.3711604
32.3294005,-6.3706935
32.329858,-6.3699568
32.3302104,-6.3693639
32.330514,-6.3689112
32.3306738,-6.3684776
32.3308551,-6.3677966
32.331067,-6.3671261
32.3312243,-6.3666812
 32.3313885,-6.3662298
32.3316461,-6.3654577
32.3318673,-6.3646875
32.3320298,-6.3642106
32.3322511,-6.3636234
32.3324561,-6.3628464
32.3324919,-6.3624374
32.332681,-6.3623388
32.3328855,-6.3619827
32.3331316,-6.3612447
32.3333759,-6.3605399
32.3335653,-6.3599823
32.3337751,-6.3594062
 32.3339796,-6.3588496
32.3341475,-6.3584253
32.3343588,-6.3577333
32.3345555,-6.3569224
 32.3346914,-6.3564896
 32.3348545,-6.3574869
32.3352093,-6.3575331
32.33565,-6.3569299
32.3363244,-6.3562259
32.3363361,-6.3562336
32.3363921,-6.356221
32.3364161,-6.3562148
32.336301,-6.3562773
32.3362845,-6.3562844
32.336368,-6.3562387
32.336411,-6.3562164
32.3363884,-6.3562302
32.336375,-6.3562372
32.3362865,-6.3562836
32.3363587,-6.3562438
32.3363732,-6.3562383
32.3364008,-6.3562225
32.3363838,-6.3562341
 32.3363585,-6.3562459
32.3362805,-6.3562864
32.336324,-6.3562622
32.3363644,-6.3562413
32.3363731,-6.3562385
32.3363245,-6.3562649
32.3362896,-6.3562821
32.3363287,-6.3562599
32.3363654,-6.3562409
32.3363757,-6.3562377
32.3363596,-6.356245
32.3363246,-6.3562648
32.3362913,-6.3562813
32.3362874,-6.3562819
32.3363769,-6.3562333
32.3364149,-6.3562144
32.3363024,-6.3562756
32.3362781,-6.3562877
32.3363247,-6.3562631
32.336316,-6.3562688
32.3362925,-6.3562805
32.3362386,-6.3563061
32.336272,-6.3562901
32.3362899,-6.3562805
32.3363484,-6.3562508
32.3363586,-6.3562468
32.336355,-6.3562472
32.3363679,-6.3562417
32.3363918,-6.3562275
32.3363803,-6.3562359
32.3363121,-6.3562713
32.3363312,-6.3562608
32.3363821,-6.3562321
32.3362957,-6.3562789
32.3363262,-6.3562612
32.3363635,-6.3562434
32.3363572,-6.3562471
32.3363595,-6.3562458
32.3363595,-6.3562458
32.3363279,-6.356263
32.3363418,-6.3562548
32.336274,-6.3562895
32.336358,-6.3562439
32.3363767,-6.3562369
32.3363611,-6.3562459
32.336261,-6.3562956
32.3363154,-6.3562675
32.3363545,-6.3562476
32.336367,-6.3562423
32.3363124,-6.356271
32.3362931,-6.35628
32.336299,-6.356277
32.3362961,-6.3562786
32.3363316,-6.3562596
32.3363598,-6.3562456
32.336358,-6.3562473
32.3363513,-6.3562503
 32.336361,-6.3562439
