Latitude,Longitude
32.3226682,-6.3443848
32.3234478,-6.3447349
32.3233474,-6.3455889
32.3232286,-6.345567
32.323189,-6.3454355
32.3231749,-6.3470531
32.3236684,-6.3471229
32.3241065,-6.3472205
32.3242319,-6.3475537
32.3245352,-6.3481403
32.3252366,-6.3482791
32.3265313,-6.3477735
32.3267074,-6.3485056
32.328035,-6.3492106
32.3286813,-6.3498833
32.3282457,-6.3504576
32.3278717,-6.3530453
32.3277706,-6.3541886
32.3277108,-6.3551894
32.3294304,-6.3534243
32.3302669,-6.3529175
32.3309175,-6.3525287
32.3325412,-6.3515344
32.3329105,-6.3510371
32.3332568,-6.3503988
32.3335962,-6.3497235
32.3346954,-6.3492364
32.3359795,-6.3484891
32.3365351,-6.3482114
32.3371364,-6.3479001
32.3374595,-6.3476713
32.3384992,-6.3469715
32.3388555,-6.3470258
32.3390563,-6.3465984
32.3393306,-6.3457769
32.3395437,-6.3454441
32.3403791,-6.3442162
32.3408012,-6.3436052
 32.3415361,-6.3436783
32.3419885,-6.3428426
32.3441647,-6.3417988
32.3449886,-6.3413698
32.3462611,-6.3403469
32.3466191,-6.3399418
32.3469434,-6.3395752
32.3493587,-6.3382769
32.3499853,-6.3381157
32.3504362,-6.3376487
32.3525135,-6.3368983
32.3531928,-6.3365118
32.3540871,-6.3361098
32.3546195,-6.3358503
32.3570773,-6.3344652
32.3579396,-6.3339614
32.3588398,-6.333454
32.3617976,-6.3317488
32.3642428,-6.3303547
32.3651173,-6.3300226
32.3694313,-6.3288391
32.3712284,-6.3284438
32.3723265,-6.3282078
32.3750224,-6.3247283
32.3750763,-6.3241581
32.3764916,-6.3219243
32.3767172,-6.3215324
32.3751512,-6.3206066
32.3720694,-6.3189476
32.3702241,-6.3177884
32.3701955,-6.3174498
32.3699494,-6.3157946
32.3700934,-6.3159275
32.3701577,-6.3160117
32.3701938,-6.3160067
32.3701069,-6.3160418
32.3701624,-6.3160203
32.3702039,-6.3160087
32.3702528,-6.3159868
32.3702502,-6.3159927
32.3702737,-6.3159894
32.370231,-6.316007
32.3702096,-6.3160024
32.3702597,-6.315983
32.37028,-6.3159868
32.370337,-6.3159597
32.3703352,-6.3159651
32.3703428,-6.3159654
32.3702596,-6.3159952
32.3702517,-6.3159997
32.3702747,-6.3159862
32.3702988,-6.3159734
32.3703081,-6.3159774
