Latitude,Longitude
32.34335,-6.36002
32.3438111,-6.3600883
32.3443464,-6.3601033
32.3442192,-6.3593607
32.3441835,-6.3586912
32.3442467,-6.3583407
32.3442334,-6.3575499
32.3443813,-6.3567236
32.3444991,-6.3565973
32.3446977,-6.3558176
32.3448305,-6.3550245
32.344975,-6.3538297
32.3450839,-6.3532702
32.3452258,-6.3526224
32.3453811,-6.3518664
32.3455141,-6.3510534
32.3456248,-6.3502902
32.3458564,-6.3491838
32.3460097,-6.3484221
32.3461721,-6.3473302
32.3463217,-6.3466051
32.346497,-6.3457694
32.3466533,-6.3448837
32.346792,-6.3442195
32.3472856,-6.3424254
32.3469382,-6.3435767
32.3469695,-6.3420745
32.3464386,-6.3422212
32.3459698,-6.3423488
32.3455612,-6.3423906
32.3451523,-6.3424121
32.3451756,-6.3419927
32.3453266,-6.3417736
32.3452699,-6.3413705
32.3452164,-6.3409571
32.3455887,-6.3408345
32.3457491,-6.3408201
32.3458029,-6.3408255
32.3458093,-6.3408356
32.3458171,-6.3408263
32.3458515,-6.3408145
32.345853,-6.3408132
32.3458182,-6.3408305
32.3457915,-6.3408428
32.3457979,-6.3408315
32.3458129,-6.3408324
32.345828,-6.3408249
32.3458037,-6.3408386
32.3456574,-6.340882
32.3456153,-6.3408935
32.3457139,-6.340865
32.3457932,-6.3408338
32.3458673,-6.3408014
