Latitude,Longitude
32.3251996,-6.3373595
32.3251947,-6.3383999
32.3250538,-6.3390308
32.3245515,-6.3394142
32.3242816,-6.3397227
32.3240676,-6.3402531
32.3239357,-6.3413316
32.3243457,-6.3422821
32.3248763,-6.3426252
32.3254978,-6.3433156
32.3258386,-6.3437762
32.3264415,-6.3446263
32.3265408,-6.3454527
32.3263832,-6.346575
32.3262561,-6.3477324
32.3264214,-6.3481931
32.326803,-6.3486636
32.3274728,-6.3489799
32.328014,-6.3491956
32.3283915,-6.3495589
32.3288168,-6.3500085
32.3290733,-6.3503255
32.3287886,-6.3506031
32.3281578,-6.3513412
32.3278347,-6.3525782
32.3277793,-6.3535401
32.3277159,-6.3541445
32.3277881,-6.3547711
32.328196,-6.3545931
32.328794,-6.3539555
32.3293763,-6.3534853
32.3298435,-6.3531431
32.328794,-6.3539555
32.3293763,-6.3534853
32.3302316,-6.3529107
32.3306783,-6.3527184
32.3307688,-6.3526431
32.3309554,-6.3525586
32.3309857,-6.3525467
32.3309973,-6.3524956
32.3312759,-6.3522348
32.3320623,-6.3521948
32.33232,-6.3523894
32.3325319,-6.3524524
32.3329334,-6.3524839
32.3326253,-6.3526778
32.3322536,-6.3526835
32.3322015,-6.3534323
32.3321302,-6.3538966
32.3320954,-6.3550143
32.3320774,-6.355829
32.3324163,-6.3561087
32.3329087,-6.3559698
32.3333203,-6.3561972
32.3338016,-6.3566267
32.3342689,-6.3569985
32.3348507,-6.3564354
32.3354444,-6.3565415
32.3356172,-6.3565426
32.3359526,-6.3561597
32.3363023,-6.3558286
32.3368676,-6.356715
32.3368676,-6.356715
32.3371685,-6.3564357
32.3377571,-6.3562922
32.338378,-6.3564232
32.3388345,-6.3565508
32.3394222,-6.3567002
32.3399056,-6.3568234
32.3406835,-6.3569977
32.3412134,-6.3571408
32.3417462,-6.3572674
32.3428148,-6.3575023
32.3432257,-6.3575909
32.3429569,-6.3579753
32.34264,-6.3585235
32.3425242,-6.3589843
32.3424409,-6.3594844
32.3423844,-6.359847
32.3423315,-6.3601398
32.3428095,-6.3600434
32.3428095,-6.3600434
32.343234,-6.3599742
32.3436717,-6.3600314
32.3437923,-6.3600358
32.3437725,-6.3600303
32.343764,-6.3600351
32.343878,-6.3600401
32.3438827,-6.3600355
32.3436767,-6.3600254
