Latitude,Longitude
32.3559567,-6.35546
32.3558808,-6.35546
32.3559253,-6.3557681
32.3559732,-6.357138
32.355965,-6.3571437
32.3558939,-6.3569607
32.3558939,-6.3569607
32.3557687,-6.3576365
32.355661,-6.3583232
32.3555483,-6.3591989
32.3554504,-6.3597503
32.3553339,-6.3602689
32.354971,-6.360736
32.3541821,-6.3604985
32.3533098,-6.360229
32.3527151,-6.3600601
32.352113,-6.3599146
32.351434,-6.3597643
32.3509468,-6.3596078
32.3504209,-6.3594539
 32.3497909,-6.3592891
32.3492217,-6.3591955
32.3485132,-6.3590691
 32.3480339,-6.3588998
32.3471854,-6.3587105
32.3466915,-6.3585899
32.345995,-6.3584012
32.3452217,-6.3582299
32.3446322,-6.3581077
32.3440362,-6.3580746
32.3433727,-6.357994
32.3433288,-6.3577938
32.3428935,-6.357631
32.3423801,-6.3575369
32.3417608,-6.3574703
32.3417125,-6.3573936
32.3413558,-6.3572889
32.3406931,-6.3571434
32.3401476,-6.357021
32.3397058,-6.3569058
32.3391062,-6.35676
32.3386386,-6.3566353
32.338226,-6.3565283
32.3376226,-6.3563897
32.3371804,-6.3562718
32.3366747,-6.3561651
32.3362248,-6.3560386
32.3358196,-6.355982
32.3355322,-6.3562331
32.3353871,-6.3565094
32.3351076,-6.3567371
32.3347754,-6.3570081
32.3345221,-6.3573714
32.3343491,-6.3579718
32.3341363,-6.3584579
32.3340097,-6.3588822
32.3338584,-6.3593253
32.3336551,-6.3599069
32.3334655,-6.3604219
32.3333146,-6.3607963
32.3331013,-6.3613894
32.3329009,-6.3619722
32.3327398,-6.3625782
32.3326592,-6.3631862
32.3325525,-6.3636507
32.3323456,-6.3636499
32.3321315,-6.3641552
32.3319619,-6.3646513
32.3317611,-6.3652326
32.3315646,-6.3658313
32.331382,-6.3663677
32.3312098,-6.3669215
32.3310652,-6.3673081
32.3309063,-6.3678059
32.33069,-6.3684718
 32.33051,-6.3684248
32.3304079,-6.3681375
32.3304768,-6.367874
32.3303808,-6.3678169
32.3303307,-6.3678125
32.3303123,-6.3678226
32.3303138,-6.3678201
32.3302828,-6.3678126
32.3304359,-6.3678574
32.3303789,-6.3678333
32.3303539,-6.3678296
32.3303539,-6.3678296
32.330321,-6.3678179
32.3303651,-6.3678402
32.330349,-6.3678275
 32.3303216,-6.3678243
32.3303394,-6.3678345
32.3304601,-6.3678659
32.3303905,-6.3678392
32.3303641,-6.3678303
32.3303166,-6.3678178
32.3302932,-6.3678126
32.3302679,-6.3678095
32.3302669,-6.3678102
32.3302724,-6.3678186
32.3303581,-6.3678402
32.3304174,-6.3678588
32.3303724,-6.3678326
32.3303299,-6.3678204
32.330329,-6.3678266
32.330319,-6.3678237
32.3303807,-6.3678489
32.3304037,-6.3678422
 32.330361,-6.3678333
32.3303826,-6.3678348
32.3304251,-6.3678393
32.3302785,-6.3678153
32.3303071,-6.3678156
32.3303619,-6.3678416
