Latitude,Longitude
32.3483376,-6.3476077
32.3480439,-6.347696
32.347538,-6.3479255
32.3470526,-6.348151
32.3464323,-6.3480677
32.346254,-6.3481775
32.3464003,-6.3486873
32.3463616,-6.3489964
32.3459274,-6.3488612
32.3458144,-6.3494985
32.3458064,-6.3503016
32.3457442,-6.3508042
32.3455672,-6.3517216
32.3453862,-6.352852
32.345269,-6.3535377
32.3451625,-6.3543189
32.3451104,-6.3549351
32.3449579,-6.3552772
32.3448084,-6.3560083
32.3446969,-6.3566178
32.3445889,-6.3571125
32.3444586,-6.3579916
32.344432,-6.3587359
32.3441125,-6.358568
32.3436083,-6.3578392
32.3430283,-6.3575949
32.3424947,-6.3575266
32.3420128,-6.3574878
32.3415501,-6.35743
32.3412287,-6.3573272
32.3407676,-6.3571732
32.3403953,-6.3570743
32.3400097,-6.3569373
32.3393795,-6.356785
32.3388351,-6.3566792
32.3382939,-6.3565624
32.3377655,-6.356438
32.337212,-6.3563112
32.3367954,-6.3562013
32.3362718,-6.3560639
32.335828,-6.3559497
32.3355963,-6.3562049
32.3354081,-6.3565013
32.3350788,-6.3567325
32.3346935,-6.3570186
32.3345109,-6.3572568
32.3342237,-6.3571033
32.3338395,-6.3567891
32.3334124,-6.3563857
32.3329103,-6.3559312
32.3324884,-6.3555812
32.3320285,-6.3551925
32.3316255,-6.3548775
32.3313615,-6.3544953
32.3316614,-6.354037
32.3312811,-6.353842
32.3310408,-6.3535136
32.3313004,-6.3531324
32.3317394,-6.3530697
32.3319502,-6.3530523
32.3319818,-6.3530653
32.3319772,-6.3530574
32.3320342,-6.3530003
32.332057,-6.352983
32.3320731,-6.3529685
32.3320461,-6.3529971
32.3320255,-6.3530106
 32.3320503,-6.3529901
 32.3320137,-6.3530235
32.3319227,-6.3530961
32.3320102,-6.3530183
32.3320288,-6.3530084
32.3320387,-6.3530009
32.331939,-6.353083
32.3320141,-6.3530156
32.3320463,-6.3529902
32.3320535,-6.3529859
32.332057,-6.3529848
