Latitude,Longitude
32.3248991,-6.3365387
32.3248391,-6.3354818
32.3251409,-6.3349064
32.3256117,-6.3357205
32.3264177,-6.3360258
32.3270611,-6.3355267
32.3274412,-6.3347505
32.3277816,-6.3337512
32.3279625,-6.3332137
32.3283266,-6.332276
32.3284233,-6.3312512
32.3284675,-6.3303269
32.3288259,-6.3299325
32.3294521,-6.3297087
32.3301563,-6.3293155
32.3304032,-6.3285263
32.3307373,-6.3276127
32.331582,-6.3272508
32.3321666,-6.3276945
32.3321228,-6.3288962
32.3319886,-6.3301756
32.3319625,-6.3312661
32.3319571,-6.3323073
32.3319721,-6.3332811
32.3323698,-6.333499
32.3327311,-6.3337279
32.3333059,-6.3338805
32.3341006,-6.3335679
32.3351009,-6.3334775
32.3355618,-6.3338636
32.3363098,-6.3342991
32.3370184,-6.334683
32.3376189,-6.3349842
32.3382345,-6.3354499
32.338409,-6.3363377
32.3383701,-6.3372303
32.3385914,-6.337849
32.3387866,-6.3382379
32.3386519,-6.3392146
32.3384512,-6.3397586
32.3383406,-6.340507
32.3385058,-6.340889
32.3387803,-6.3414609
32.3390361,-6.3421219
32.3393495,-6.3428326
32.339701,-6.3434652
32.3401778,-6.3439619
32.3410379,-6.3441403
32.3412728,-6.3438058
32.3417034,-6.3435736
32.3420555,-6.3433959
32.3419847,-6.3432532
32.3421921,-6.3430521
32.3426838,-6.342744
32.3431846,-6.3424312
32.3434978,-6.3422164
32.3438808,-6.3419809
32.3442951,-6.3417271
32.344634,-6.3415417
32.3449513,-6.3413451
32.3452531,-6.3411576
32.3457582,-6.340812
32.3462022,-6.3404127
32.3464968,-6.3400776
32.3469273,-6.3395761
32.347425,-6.3390384
32.3478658,-6.3387795
32.348189,-6.3386039
32.3486784,-6.3383946
32.3491976,-6.3382887
32.3497639,-6.3381616
32.3500146,-6.3379911
32.3504335,-6.3373826
32.3512681,-6.3374019
32.3519459,-6.3371894
32.3528752,-6.3367076
32.3533692,-6.3364203
32.3540685,-6.3360995
32.3549663,-6.3356459
32.3557777,-6.3352428
32.3566899,-6.3347002
32.3572298,-6.3343638
32.3580169,-6.3338898
32.3589368,-6.3333621
32.3596777,-6.3329389
32.3604003,-6.3325241
32.3611829,-6.332089
32.3618008,-6.3317259
32.3630787,-6.3309874
32.3636351,-6.3306616
32.364395,-6.330256
32.3653512,-6.3298937
32.3662495,-6.3295858
32.3683264,-6.3290642
32.369437,-6.3288147
32.3702859,-6.328619
32.3712801,-6.3284138
32.3718813,-6.3282519
32.3725838,-6.328085
32.3736723,-6.3278803
